STUSPS,Support_zscore,Law,Felony,Arrest,X2016_HIV_pre,X2013_pol_aff,Population,Med_age,Pct_blk,Rate,stigma,stigmaqrt,,,,,,,
AK,-1.380876777,1,1,0,718,1,736855,33.6,3.3,0,1.380876777,3,,,,,,,
AL,-4.862718046,0,0,1,13507,1,4841164,38.6,26.5,7.40356852,4.862718046,4,,,,,,,
AR,-4.696095719,1,1,8,5893,1,2968472,37.7,15.5,135.7542847,4.696095719,4,,,,,,,
AZ,-0.673937766,0,0,0,16734,1,6728577,37.1,4.3,0,0.673937766,2,,,,,,,
CA,5.223759383,1,1,5,132023,2,38654206,36,5.9,3.787218894,-5.223759383,1,,,,,,,
CO,2.263436131,1,1,6,12320,2,5359295,36.4,4.1,48.7012987,-2.263436131,2,,,,,,,
CT,4.526030659,0,0,0,10884,2,3588570,40.6,10.4,0,-4.526030659,1,,,,,,,
DE,3.550481113,0,1,0,3451,2,934695,39.6,21.7,0,-3.550481113,1,,,,,,,
FL,1.068809564,1,1,48,116197,1,19934451,41.6,16.1,41.309156,-1.068809564,2,,,,,,,
GA,-2.147173427,1,1,23,54757,1,10099320,36.2,31.2,42.00376208,2.147173427,3,,,,,,,
HI,2.261621293,0,0,0,2991,2,1413673,38.5,1.8,0,-2.261621293,2,,,,,,,
IA,-0.287152141,1,1,10,2684,3,3106589,38,3.3,372.5782414,0.287152141,2,,,,,,,
ID,-3.136616305,1,1,6,1146,1,1635483,35.7,0.6,523.5602094,3.136616305,4,,,,,,,
IL,0.781475167,1,1,11,38350,2,12851684,37.4,14.3,28.68318123,-0.781475167,2,,,,,,,
IN,-0.901218256,1,1,13,11857,1,6589578,37.4,9.2,109.6398752,0.901218256,3,,,,,,,
KS,-3.028373665,0,0,3,3125,1,2898292,36.2,5.8,96,3.028373665,3,,,,,,,
KY,-3.175243622,1,1,4,7304,3,4411989,38.6,7.9,54.7645126,3.175243622,4,,,,,,,
LA,-2.727226807,1,1,11,21755,1,4645670,36.2,32.2,50.56308895,2.727226807,3,,,,,,,
MA,7.057597528,0,1,1,20987,2,6742143,39.4,7.3,4.764854434,-7.057597528,1,,,,,,,
MD,2.804472051,1,0,8,35362,2,5959902,38.3,29.6,22.6231548,-2.804472051,1,,,,,,,
ME,4.063481843,0,0,0,1574,2,1329923,44,1.2,0,-4.063481843,1,,,,,,,
MI,-0.57871484,1,1,20,16088,1,9909600,39.5,13.9,124.3162606,0.57871484,2,,,,,,,
MN,1.78792911,0,0,2,8383,2,5450868,37.8,5.7,23.85780747,-1.78792911,2,,,,,,,
MO,-1.991525992,1,1,15,12862,1,6059651,38.3,11.6,116.6226092,1.991525992,3,,,,,,,
MS,-4.395327267,1,1,7,10167,1,2989192,36.7,37.5,68.85020163,4.395327267,4,,,,,,,
MT,-2.653242325,0,0,2,610,1,1023391,39.8,0.4,327.8688525,2.653242325,3,,,,,,,
NC,-1.105189848,1,0,4,32549,1,9940828,38.3,21.5,12.28916403,1.105189848,3,,,,,,,
ND,-4.329878589,1,1,1,400,1,736162,35.2,2,250,4.329878589,4,,,,,,,
NE,-3.727369431,1,1,1,2197,1,1881259,36.2,4.7,45.51661356,3.727369431,4,,,,,,,
NH,2.451914805,0,0,1,1302,3,1327503,42.4,1.3,76.80491551,-2.451914805,2,,,,,,,
NJ,3.343058409,1,1,3,37940,2,8915456,39.5,13.5,7.907221929,-3.343058409,1,,,,,,,
NM,2.189957792,0,0,0,3477,2,2082669,37.2,2,0,-2.189957792,2,,,,,,,
NV,3.21509219,1,1,1,9911,2,2839172,37.5,8.6,10.08979921,-3.21509219,1,,,,,,,
NY,5.424622499,0,0,3,134664,2,19697457,38.2,15.6,2.227766886,-5.424622499,1,,,,,,,
OH,-1.648582179,0,1,33,22609,1,11586941,39.3,12.3,145.9595736,1.648582179,3,,,,,,,
OK,-4.209158059,1,1,7,6385,1,3875589,36.2,7.3,109.6319499,4.209158059,4,,,,,,,
OR,3.474569923,0,0,1,7037,2,3982267,39.1,1.9,14.21060111,-3.474569923,1,,,,,,,
PA,-0.449498493,1,1,7,36560,1,12783977,40.6,11,19.14660832,0.449498493,2,,,,,,,
RI,4.962435361,0,0,0,2491,2,1054491,39.9,6.5,0,-4.962435361,1,,,,,,,
SC,-3.80360442,1,1,15,17649,1,4834605,38.8,27.4,84.99065103,3.80360442,4,,,,,,,
SD,-5.007509962,1,1,2,576,1,851058,36.8,1.7,347.2222222,5.007509962,4,,,,,,,
TN,-3.613941999,1,1,36,17880,1,6548009,38.5,16.8,201.3422819,3.613941999,4,,,,,,,
TX,-2.131033637,0,0,11,90816,1,26956435,34.2,11.9,12.1124031,2.131033637,3,,,,,,,
UT,-3.612571685,1,1,2,2963,1,2948427,30.3,1.1,67.49915626,3.612571685,4,,,,,,,
VA,-1.322327989,1,1,6,23462,3,8310301,37.8,19.2,25.57326741,1.322327989,3,,,,,,,
VT,5.028393444,0,0,1,692,2,626249,42.6,1.2,144.5086705,-5.028393444,1,,,,,,,
WA,3.675977365,1,1,4,13366,2,7073146,37.6,3.6,29.92667963,-3.675977365,1,,,,,,,
WI,0.35065843,1,1,2,6363,1,5754798,39.1,6.3,31.4317146,-0.35065843,2,,,,,,,
WV,-1.506558009,0,0,0,1919,2,1846092,41.9,3.4,0,1.506558009,3,,,,,,,
WY,-3.461131499,0,0,0,326,1,583029,36.8,1.1,0,3.461131499,4,,,,,,,
